# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli2_model
# start_datetime = 2024-01-19 15:21:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.850000
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_data_1.json
# init = 2 (Default)
# random
#   seed = 695854889 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-8.36803,0.974715,0.763499,3,7,0,10.0978,0.186547
-8.42309,0.994447,1.01691,1,1,0,8.48976,0.181922
-8.38031,1,1.40814,1,1,0,8.57123,0.185494
-7.9731,1,1.96578,1,1,0,8.34591,0.229505
-7.9731,0.293476,2.73404,1,1,0,8.05166,0.229505
-8.02376,0.995765,0.857487,1,1,0,8.03765,0.22262
-7.98542,1,1.18301,1,1,0,8.06643,0.227775
-7.88771,1,1.64081,2,3,0,8.02503,0.242696
-8.21313,0.932849,2.26779,1,3,0,8.21472,0.486366
-8.21313,0.0150659,2.72027,1,1,0,10.2854,0.486366
-8.15206,1,0.497058,1,1,0,8.21277,0.477824
-8.8561,0.956164,0.687634,2,5,0,9.42129,0.151905
-8.45446,1,0.867454,3,7,0,8.82548,0.516285
-8.98003,0.886287,1.1926,1,1,0,9.06217,0.568249
-8.18745,1,1.3008,1,1,0,8.8038,0.482832
-8.20822,0.989379,1.77897,1,1,0,8.48453,0.485696
-8.31508,0.83589,2.3747,1,3,0,8.36303,0.191226
-7.63882,1,2.33325,1,1,0,7.88443,0.328453
-7.70963,0.89905,3.16715,1,1,0,7.75329,0.385953
-7.70963,0.00859317,3.51725,1,1,0,8.15374,0.385953
-7.64519,1,0.687348,2,7,0,7.71051,0.317339
-7.91473,0.939996,0.934194,1,3,0,8.33626,0.438501
-7.81651,1,1.12744,1,1,0,7.90871,0.417311
-8.07235,0.909255,1.52437,1,1,0,8.11346,0.465875
-7.96101,1,1.72755,2,3,0,8.04817,0.23124
-8.59789,0.619248,2.32471,1,1,0,8.59979,0.53191
-9.3503,0.758825,1.51493,1,1,0,9.62257,0.598243
-8.40602,1,1.28988,2,3,0,9.16351,0.510687
-8.22581,1,1.73095,2,3,0,8.59607,0.488081
-8.3512,0.954666,2.3168,1,3,0,8.42017,0.188008
-8.3512,0.0064091,2.84235,1,1,0,8.71571,0.188008
-7.63873,0.99894,0.598587,2,7,0,8.38205,0.337911
-7.87619,0.961003,0.800137,3,7,0,8.49129,0.430707
-7.70233,1,0.994915,3,7,0,7.86811,0.285892
-10.3768,0.569503,1.32631,2,3,0,11.2992,0.0902664
-11.0328,0.978891,0.803747,1,1,0,11.0328,0.0739332
-11.0328,2.28483e-37,4.11796,1,1,0,11.5795,0.0739332
-11.0328,0,8.7801,0,1,1,11.5403,0.0739332
-10.9689,1,0.749015,1,1,0,11.2605,0.0753561
-11.784,0.991221,0.662104,2,3,0,11.7855,0.0593955
-11.5446,1,0.735547,1,1,0,11.949,0.0636315
-11.0004,1,0.965594,1,1,0,11.74,0.0746504
-10.7684,1,1.38128,1,1,0,11.7354,0.0800376
-8.19442,1,2.08256,1,1,0,9.89109,0.202895
-8.13535,1,3.24202,1,1,0,9.28635,0.209221
-8.13535,1.17584e-31,5.14275,2,3,0,8.67661,0.209221
-8.07197,0.999842,0.348807,2,3,0,8.15892,0.216568
-8.04185,1,0.562976,1,1,0,8.08669,0.220298
-10.5206,0.87852,0.914644,2,3,0,10.5223,0.672688
-7.81455,0.986336,1.01717,1,3,0,11.034,0.256304
-8.81132,0.619518,1.58796,1,1,0,8.8968,0.154594
-8.87054,0.998145,0.793626,2,3,0,8.9872,0.151055
-7.82452,1,1.28665,1,1,0,8.53663,0.254279
-7.68146,1,2.08719,1,1,0,7.78695,0.29416
-7.68146,0.0620805,3.36532,1,1,0,8.11131,0.29416
-7.67485,0.997799,0.321431,3,7,0,7.82801,0.297207
-7.86755,0.992066,0.51974,2,7,0,7.8934,0.428879
-7.76092,0.935349,0.820487,1,3,0,8.49063,0.268491
-7.90758,0.962431,1.0892,1,1,0,7.91937,0.239413
-9.06256,0.604224,1.5576,1,1,0,9.15939,0.140441
-7.72095,0.863976,0.788861,1,3,0,11.1562,0.390052
-7.85541,0.973439,0.849203,1,1,0,7.85545,0.42625
-8.81294,0.653227,1.24521,1,1,0,8.87709,0.553166
-8.39103,0.999186,0.738108,3,7,0,8.97333,0.508918
-7.81978,1,1.15696,1,1,0,8.20286,0.418096
-8.5312,0.720285,1.80403,1,3,0,8.53153,0.173466
-7.69052,0.953265,1.29803,2,3,0,8.40069,0.290359
-7.64078,1,1.76806,1,1,0,7.66215,0.323545
-7.64078,0.063346,2.71753,1,1,0,7.7648,0.323545
-7.73015,0.997362,0.339568,2,7,0,7.81484,0.276874
-7.88715,0.993656,0.521536,2,7,0,7.95967,0.432982
-8.13479,0.957065,0.787783,1,1,0,8.13703,0.475319
-8.25765,0.959914,1.07452,1,1,0,8.40018,0.492309
-8.46393,0.772354,1.46922,2,3,0,8.90334,0.178637
-8.05313,1,1.23482,1,1,0,8.42027,0.218881
-8.05313,0.00371558,1.85881,1,1,0,9.37655,0.218881
-7.64371,0.996322,0.223637,3,11,0,8.94872,0.34776
-7.83912,0.987488,0.33569,2,7,0,8.29937,0.251423
-7.95435,0.990735,0.4899,2,3,0,8.07408,0.232212
-7.78579,0.992658,0.716665,3,7,0,8.12978,0.409561
-7.73737,1,1.04748,1,1,0,7.79258,0.395539
-8.4319,0.622016,1.55008,1,1,0,8.57929,0.5137
-8.03475,1,0.913057,1,1,0,8.3635,0.459861
-7.6474,1,1.34478,1,3,0,7.8563,0.315017
-7.6474,0.740554,1.96993,1,1,0,7.77196,0.315017
-8.13179,0.767341,1.55092,1,1,0,8.14192,0.209617
-12.6988,0.318527,1.30465,1,3,0,12.9523,0.0459285
-12.7642,0.999515,0.384552,1,1,0,12.8198,0.0451058
-12.3,1,0.561377,1,1,0,12.7791,0.0513218
-11.7554,1,0.816308,1,1,0,12.4207,0.0598839
-7.6518,0.800118,1.18119,1,3,0,11.7093,0.356045
-7.79203,0.966043,1.07799,2,3,0,7.86397,0.261127
-7.68192,1,1.43473,1,1,0,7.7597,0.293959
-7.68312,0.951324,2.05389,1,3,0,7.68362,0.374895
-7.97,0.633783,2.62475,1,1,0,8.13941,0.229946
-7.97,0.311866,1.64906,1,1,0,8.49623,0.229946
-7.71277,0.99474,0.510914,2,7,0,8.17954,0.282298
-7.92608,0.968467,0.720935,3,7,0,8.23883,0.236483
-7.77672,0.957278,0.956502,1,3,0,8.35859,0.407126
-7.77672,0.902126,1.23435,1,1,0,7.9587,0.407126
-8.08247,0.696004,1.40959,2,3,0,8.53287,0.215306
-7.64222,0.986016,1.03179,1,3,0,8.11831,0.345647
-8.20488,0.735444,1.40877,1,1,0,8.21387,0.485239
-8.20488,0.531976,1.12508,1,1,0,9.3997,0.485239
